"required_file","status","chosen_source","destination","duplicate_count","all_candidates"
"altman1.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/altman1.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/altman1.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/altman1.png"
"AI_graphic.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/AI_graphic.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/AI_graphic.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/AI_graphic.PNG"
"stanford_hai_24.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/stanford_hai_24.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/stanford_hai_24.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/stanford_hai_24.png"
"ai_harm_survey.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/ai_harm_survey.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/ai_harm_survey.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/ai_harm_survey.png"
"equation.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/equation.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/equation.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/equation.PNG"
"ml_code.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/ml_code.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/ml_code.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/ml_code.PNG"
"turing_bbc_greatest.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/turing_bbc_greatest.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/turing_bbc_greatest.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/turing_bbc_greatest.jpg"
"turing_paper.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/turing_paper.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/turing_paper.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/turing_paper.png"
"turing_test_diagram.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/Turing_test_diagram.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/turing_test_diagram.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/Turing_test_diagram.png"
"big_blue.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/big_blue.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/big_blue.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/big_blue.jpg"
"watson.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/watson.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/watson.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/watson.jpg"
